beta,seed,threshold,n_nodes,n_edges,mean_degree,leaf_count,branch_count
9.0,1,1.7423923811903446,208,254,2.4423076923076925,57,83
9.0,2,1.5938042870783329,208,268,2.576923076923077,45,87
10.0,1,1.8333645375962337,208,285,2.7403846153846154,38,98
10.0,2,1.6571271723574248,208,240,2.3076923076923075,55,84
11.0,1,1.9754598599035509,208,299,2.875,34,104
11.0,2,1.769118660947521,208,284,2.730769230769231,35,100
12.0,1,1.8488187271783931,208,292,2.8076923076923075,29,104
12.0,2,1.9321397953704744,208,302,2.9038461538461537,25,115
13.0,1,2.149520471601136,208,309,2.9711538461538463,19,107
13.0,2,2.118056269146841,208,267,2.5673076923076925,49,88
14.0,1,1.9973053835256516,208,272,2.6153846153846154,47,90
14.0,2,2.217864908422036,208,303,2.9134615384615383,36,112
15.0,1,2.3354219830496143,208,309,2.9711538461538463,33,115
15.0,2,2.354698934503818,208,320,3.076923076923077,32,120
