seed,final_std,final_flux_max,final_node_max,centroid_x,centroid_y,centroid_offset,anisotropy,core_mass_fraction,split_score,radial_mean,radial_std,n_lobes,state_class,instability_score,is_unstable
10,0.9589656850217924,4.98685593704807,22.569723940875,65.1921957956652,65.36058158130683,2.5150130082298197,1.118208530548661,0.1744233632096923,0.1735620392156656,23.078890159311783,15.520503086625713,3,decentered,1.0822828321080773,True
4,0.952617804930839,4.770240647848736,23.322046198335777,61.623651969612695,62.75239187759293,2.019801929850387,1.2263287829931286,0.1612651886264234,0.0632211399394137,24.38555136048937,15.948766017923637,4,few_lobed,0.88913901951739,True
2,0.9517470147544772,5.112652999650295,19.97846122791068,63.61200485470222,63.78490936558073,0.3061346665643735,1.1488352228791006,0.1480845878850187,0.0755674645231033,24.248691025788297,15.300154449987202,6,generic_multilobed,0.36694792325899417,False
11,0.9503584961910506,4.9560167938943005,21.06235198029374,64.20296709201818,63.69032212672475,0.7282755277925621,1.1619325333234316,0.1092015430797563,0.1545821578991212,25.047639817920295,14.828520211319026,9,generic_multilobed,0.5436184597419277,False
9,0.946914836041701,4.361005382816079,23.162901871788456,64.17308158792015,62.890750409738075,0.9078677696842398,1.1591578454847125,0.1373714715199893,0.045991211972185,23.534136545280077,15.598067989294346,9,generic_multilobed,0.5317866271855254,False
7,0.9471847749585997,4.866651009663124,24.078829109482,62.525161148715846,64.18547332750367,1.1917149276114511,1.113670878357104,0.1494810973202178,0.1375940471158834,24.441897166466045,15.376514429534607,5,generic_multilobed,0.6628050822243863,True
6,0.947911351476344,4.860303620536155,22.062256040826952,62.499373187544904,64.92039129171017,1.737459478482921,1.190543559482605,0.1420901967361973,0.0993672203005331,24.178273518689213,15.137783898333408,7,generic_multilobed,0.8189668876217171,True
8,0.9452851155743964,5.068119942321721,20.17350631151424,62.43328788769997,61.81158135149184,1.9971560437676672,1.171779359689717,0.1246267328479436,0.1505153143041526,24.484957256547982,15.38325913959474,7,generic_multilobed,0.9238118736507351,True
12,0.9493246637226816,5.071199088384035,22.174788343698097,63.0554508341055,64.17197741990184,0.8057155911085649,1.084890450098792,0.1196549493670423,0.0489232416554369,23.935737594447787,14.947917662600636,11,high_lobed,0.48804671234559005,False
5,0.9377554226509012,4.435410138110517,24.190488701529397,63.151706814863545,63.62770429442259,0.3709670195940192,1.0900105774776954,0.0922397380607209,0.1835301507514775,24.696163182573795,15.088585946102922,6,split_multilobed,0.4394103118246313,False
3,0.9627136625581616,5.018826434047423,23.817861062952726,64.07674744374589,63.40718777397645,0.5841675471702116,1.1536439348853156,0.1327846617455796,0.2019879737133632,23.528209424037303,14.416752799041005,10,split_multilobed,0.5271718353561445,False
1,0.952326823804398,4.673846951164561,23.08919673948032,64.42283268920455,63.33935642697834,0.9367104834566948,1.133693505822075,0.1501689184877688,0.1802583568987732,23.61687822393384,15.114182380498493,9,split_multilobed,0.6159068603406873,False
